Tabelle: 12711-0008
Wanderungen zwischen Deutschland und dem Ausland:;;;
Deutschland, Jahre, Nationalität, Herkunfts-/Zielländer;;;
Wanderungsstatistik;;;;;;
Deutschland;;;;;;
;Deutsche;;;;;
;Zuzüge aus dem Ausland;;Fortzüge in das Ausland;;Wanderungssaldo;
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2000;;;;;;
Kanada;1155;e;2442;e;-1287;e
Kolumbien;250;e;171;e;79;e
Mexiko;534;e;493;e;41;e
Nicaragua;39;e;51;e;-12;e
Paraguay;376;e;228;e;148;e
Peru;260;e;147;e;113;e
Uruguay;93;e;65;e;28;e
Venezuela, Bolivarische Republik;330;e;157;e;173;e
Vereinigte Staaten;10348;e;12325;e;-1977;e
Übriges Amerika;845;e;639;e;206;e
Jemen;33;e;30;e;3;e
Armenien;38;e;11;e;27;e
Afghanistan;64;e;156;e;-92;e
Aserbaidschan;46;e;13;e;33;e
Georgien;85;e;21;e;64;e
Vietnam;112;e;94;e;18;e
Korea, Demokratische Volksrepublik;38;e;61;e;-23;e
Indien;387;e;373;e;14;e
Indonesien;251;e;196;e;55;e
Irak;64;e;72;e;-8;e
Iran, Islamische Republik;130;e;194;e;-64;e
Israel;365;e;367;e;-2;e
Japan;439;e;526;e;-87;e
Kasachstan;23557;e;571;e;22986;e
Jordanien;138;e;125;e;13;e
Kuwait;52;e;64;e;-12;e
Kirgisistan;1822;e;68;e;1754;e
Libanon;293;e;349;e;-56;e
Pakistan;229;e;234;e;-5;e
Philippinen;449;e;393;e;56;e
Korea, Republik;98;e;134;e;-36;e
Vereinigte Arabische Emirate;211;e;464;e;-253;e
Tadschikistan;57;e;70;e;-13;e
Saudi-Arabien;191;e;139;e;52;e
Singapur;462;e;341;e;121;e
Syrien;168;e;158;e;10;e
Thailand;732;e;715;e;17;e
Usbekistan;731;e;37;e;694;e
China;898;e;1133;e;-235;e
Übriges Asien;777;e;696;e;81;e
Australien;1189;e;1923;e;-734;e
Neuseeland;310;e;569;e;-259;e
Übriges Ozeanien;81;e;95;e;-14;e
Unbekanntes Ausland;0;e;0;e;0;e
Ungeklärt / Ohne Angabe;14151;e;23687;e;-9536;e
Insgesamt;167216;e;127267;e;39949;e
2004;;;;;;
Albanien;66;e;31;e;35;e
Bosnien und Herzegowina;142;e;99;e;43;e
Andorra;13;e;22;e;-9;e
Belgien;1893;e;2584;e;-691;e
Bulgarien;153;e;148;e;5;e
Dänemark;504;e;735;e;-231;e
Estland;82;e;64;e;18;e
Finnland;182;e;333;e;-151;e
Frankreich;5159;e;7270;e;-2111;e
Kroatien;234;e;338;e;-104;e
Slowenien;90;e;191;e;-101;e
Griechenland;783;e;1165;e;-382;e
Irland;497;e;883;e;-386;e
Island;47;e;65;e;-18;e
Italien;2421;e;3448;e;-1027;e
Lettland;104;e;74;e;30;e
Montenegro (ab 03.06.2006);0;e;0;e;0;e
Litauen;227;e;106;e;121;e
Luxemburg;571;e;732;e;-161;e
Nordmazedonien;33;e;30;e;3;e
Malta;36;e;67;e;-31;e
Niederlande;3647;e;3571;e;76;e
Norwegen;327;e;886;e;-559;e
Kosovo;0;e;0;e;0;e
Österreich;4027;e;8532;e;-4505;e
Polen;14654;e;9658;e;4996;e
Portugal;742;e;816;e;-74;e
Rumänien;586;e;463;e;123;e
Slowakei;138;e;181;e;-43;e
Schweden;570;e;1327;e;-757;e
Schweiz;4795;e;12818;e;-8023;e
Russische Föderation;30931;e;2314;e;28617;e
Spanien;5922;e;7196;e;-1274;e
Türkei;1533;e;2125;e;-592;e
Tschechien;738;e;919;e;-181;e
Ungarn;621;e;903;e;-282;e
Ukraine;2497;e;252;e;2245;e
Vereinigtes Königreich;4049;e;7842;e;-3793;e
Belarus;361;e;52;e;309;e
Serbien;0;e;0;e;0;e
Zypern;113;e;152;e;-39;e
Übriges Europa;625;e;443;e;182;e
Algerien;73;e;114;e;-41;e
Angola;10;e;20;e;-10;e
Äthiopien;88;e;108;e;-20;e
Cote d'Ivoire;21;e;10;e;11;e
Nigeria;150;e;91;e;59;e
Ghana;154;e;134;e;20;e
Kenia;187;e;205;e;-18;e
Kongo, Republik;11;e;9;e;2;e
Kongo, Demokratische Republik;13;e;23;e;-10;e
Libyen;34;e;26;e;8;e
Marokko;215;e;186;e;29;e
Niger;20;e;11;e;9;e
Kamerun;67;e;54;e;13;e
Südafrika;843;e;1074;e;-231;e
Ruanda;18;e;15;e;3;e
Namibia;203;e;225;e;-22;e
Senegal;47;e;30;e;17;e
Somalia;5;e;12;e;-7;e
Sudan (einschließlich Südsudan) (bis 08.07.2011);-;;-;;-;
Sudan (ohne Südsudan) (ab 09.07.2011);-;;-;;-;
Südsudan (ab 09.07.2011);-;;-;;-;
Tansania;130;e;130;e;0;e
Tunesien;225;e;249;e;-24;e
Uganda;53;e;37;e;16;e
Ägypten;347;e;387;e;-40;e
Zentralafrikanische Republik;10;e;8;e;2;e
Übriges Afrika;572;e;501;e;71;e
Argentinien;316;e;372;e;-56;e
Bolivien, Plurinationaler Staat;180;e;175;e;5;e
Brasilien;1137;e;1155;e;-18;e
Chile;341;e;336;e;5;e
Costa Rica;94;e;115;e;-21;e
Honduras;47;e;34;e;13;e
Kanada;1038;e;2511;e;-1473;e
Kolumbien;236;e;169;e;67;e
Mexiko;569;e;546;e;23;e
Nicaragua;40;e;40;e;0;e
Paraguay;255;e;256;e;-1;e
Peru;216;e;185;e;31;e
Uruguay;56;e;55;e;1;e
Venezuela, Bolivarische Republik;184;e;173;e;11;e
Vereinigte Staaten;9677;e;12976;e;-3299;e
Übriges Amerika;802;e;732;e;70;e
Jemen;26;e;36;e;-10;e
Armenien;15;e;22;e;-7;e
Afghanistan;79;e;121;e;-42;e
Aserbaidschan;59;e;25;e;34;e
