year,dimension_type,dimension_value,direction,value
2001,country,Mexiko,emigration,500.0
2001,country,Mexiko,immigration,621.0
2001,country,Montenegro (ab 03.06.2006),emigration,0.0
2001,country,Montenegro (ab 03.06.2006),immigration,0.0
2001,country,Namibia,emigration,204.0
2001,country,Namibia,immigration,341.0
2001,country,Neuseeland,emigration,393.0
2001,country,Neuseeland,immigration,338.0
2001,country,Nicaragua,emigration,18.0
2001,country,Nicaragua,immigration,36.0
2001,country,Niederlande,emigration,3875.0
2001,country,Niederlande,immigration,3762.0
2001,country,Niger,emigration,4.0
2001,country,Niger,immigration,24.0
2001,country,Nigeria,emigration,100.0
2001,country,Nigeria,immigration,159.0
2001,country,Nordmazedonien,emigration,31.0
2001,country,Nordmazedonien,immigration,57.0
2001,country,Norwegen,emigration,659.0
2001,country,Norwegen,immigration,332.0
2001,country,Pakistan,emigration,196.0
2001,country,Pakistan,immigration,284.0
2001,country,Paraguay,emigration,240.0
2001,country,Paraguay,immigration,339.0
2001,country,Peru,emigration,133.0
2001,country,Peru,immigration,247.0
2001,country,Philippinen,emigration,361.0
2001,country,Philippinen,immigration,477.0
2001,country,Polen,emigration,11420.0
2001,country,Polen,immigration,20872.0
2001,country,Portugal,emigration,958.0
2001,country,Portugal,immigration,879.0
2001,country,Ruanda,emigration,32.0
2001,country,Ruanda,immigration,23.0
2001,country,Rumänien,emigration,345.0
2001,country,Rumänien,immigration,817.0
2001,country,Russische Föderation,emigration,1440.0
2001,country,Russische Föderation,immigration,42425.0
2001,country,Saudi-Arabien,emigration,144.0
2001,country,Saudi-Arabien,immigration,182.0
2001,country,Schweden,emigration,1031.0
2001,country,Schweden,immigration,506.0
2001,country,Schweiz,emigration,9092.0
2001,country,Schweiz,immigration,4093.0
2001,country,Senegal,emigration,57.0
2001,country,Senegal,immigration,57.0
2001,country,Serbien,emigration,0.0
2001,country,Serbien,immigration,0.0
2001,country,Singapur,emigration,420.0
2001,country,Singapur,immigration,504.0
2001,country,Slowakei,emigration,84.0
2001,country,Slowakei,immigration,132.0
2001,country,Slowenien,emigration,110.0
2001,country,Slowenien,immigration,79.0
2001,country,Somalia,emigration,5.0
2001,country,Somalia,immigration,17.0
2001,country,Spanien,emigration,6697.0
2001,country,Spanien,immigration,5909.0
2001,country,Syrien,emigration,105.0
2001,country,Syrien,immigration,148.0
2001,country,Südafrika,emigration,804.0
2001,country,Südafrika,immigration,1186.0
2001,country,Tadschikistan,emigration,5.0
2001,country,Tadschikistan,immigration,61.0
2001,country,Tansania,emigration,134.0
2001,country,Tansania,immigration,148.0
2001,country,Thailand,emigration,621.0
2001,country,Thailand,immigration,698.0
2001,country,Tschechien,emigration,669.0
2001,country,Tschechien,immigration,908.0
2001,country,Tunesien,emigration,205.0
2001,country,Tunesien,immigration,244.0
2001,country,Türkei,emigration,1384.0
2001,country,Türkei,immigration,1514.0
2001,country,Uganda,emigration,68.0
2001,country,Uganda,immigration,56.0
2001,country,Ukraine,emigration,190.0
2001,country,Ukraine,immigration,3347.0
2001,country,Unbekanntes Ausland,emigration,3881.0
2001,country,Unbekanntes Ausland,immigration,196.0
2001,country,Ungarn,emigration,673.0
2001,country,Ungarn,immigration,766.0
2001,country,Ungeklärt / Ohne Angabe,emigration,8072.0
2001,country,Ungeklärt / Ohne Angabe,immigration,8096.0
2001,country,Uruguay,emigration,58.0
2001,country,Uruguay,immigration,114.0
2001,country,Usbekistan,emigration,17.0
2001,country,Usbekistan,immigration,933.0
2001,country,"Venezuela, Bolivarische Republik",emigration,156.0
2001,country,"Venezuela, Bolivarische Republik",immigration,287.0
2001,country,Vereinigte Arabische Emirate,emigration,310.0
2001,country,Vereinigte Arabische Emirate,immigration,219.0
2001,country,Vereinigte Staaten,emigration,13485.0
2001,country,Vereinigte Staaten,immigration,11514.0
2001,country,Vereinigtes Königreich,emigration,5596.0
2001,country,Vereinigtes Königreich,immigration,4594.0
2001,country,Vietnam,emigration,88.0
2001,country,Vietnam,immigration,143.0
2001,country,Zentralafrikanische Republik,emigration,19.0
2001,country,Zentralafrikanische Republik,immigration,23.0
2001,country,Zypern,emigration,116.0
2001,country,Zypern,immigration,131.0
2001,country,Ägypten,emigration,313.0
2001,country,Ägypten,immigration,391.0
2001,country,Äthiopien,emigration,72.0
2001,country,Äthiopien,immigration,80.0
2001,country,Österreich,emigration,5630.0
2001,country,Österreich,immigration,3657.0
2001,country,Übriges Afrika,emigration,495.0
2001,country,Übriges Afrika,immigration,700.0
2001,country,Übriges Amerika,emigration,691.0
2001,country,Übriges Amerika,immigration,1044.0
2001,country,Übriges Asien,emigration,566.0
2001,country,Übriges Asien,immigration,882.0
2001,country,Übriges Europa,emigration,487.0
2001,country,Übriges Europa,immigration,670.0
2001,country,Übriges Ozeanien,emigration,84.0
2001,country,Übriges Ozeanien,immigration,92.0
2002,country,Afghanistan,emigration,74.0
2002,country,Afghanistan,immigration,20.0
2002,country,Albanien,emigration,30.0
2002,country,Albanien,immigration,37.0
2002,country,Algerien,emigration,296.0
2002,country,Algerien,immigration,341.0
2002,country,Andorra,emigration,17.0
2002,country,Andorra,immigration,8.0
2002,country,Angola,emigration,14.0
2002,country,Angola,immigration,18.0
2002,country,Argentinien,emigration,264.0
2002,country,Argentinien,immigration,887.0
2002,country,Armenien,emigration,11.0
2002,country,Armenien,immigration,88.0
2002,country,Aserbaidschan,emigration,18.0
2002,country,Aserbaidschan,immigration,54.0
2002,country,Australien,emigration,1715.0
2002,country,Australien,immigration,1205.0
2002,country,Belarus,emigration,35.0
2002,country,Belarus,immigration,387.0
2002,country,Belgien,emigration,2465.0
2002,country,Belgien,immigration,1960.0
2002,country,"Bolivien, Plurinationaler Staat",emigration,148.0
2002,country,"Bolivien, Plurinationaler Staat",immigration,218.0
2002,country,Bosnien und Herzegowina,emigration,85.0
2002,country,Bosnien und Herzegowina,immigration,96.0
2002,country,Brasilien,emigration,1069.0
2002,country,Brasilien,immigration,1237.0
2002,country,Bulgarien,emigration,120.0
2002,country,Bulgarien,immigration,190.0
2002,country,Chile,emigration,279.0
2002,country,Chile,immigration,416.0
2002,country,China,emigration,1014.0
2002,country,China,immigration,823.0
2002,country,Costa Rica,emigration,100.0
2002,country,Costa Rica,immigration,119.0
2002,country,Cote d'Ivoire,emigration,22.0
2002,country,Cote d'Ivoire,immigration,42.0
2002,country,Dänemark,emigration,724.0
2002,country,Dänemark,immigration,595.0
2002,country,Estland,emigration,43.0
2002,country,Estland,immigration,105.0
2002,country,Finnland,emigration,262.0
2002,country,Finnland,immigration,177.0
2002,country,Frankreich,emigration,6875.0
2002,country,Frankreich,immigration,5412.0
2002,country,Georgien,emigration,29.0
2002,country,Georgien,immigration,68.0
2002,country,Ghana,emigration,95.0
2002,country,Ghana,immigration,122.0
2002,country,Griechenland,emigration,1102.0
2002,country,Griechenland,immigration,902.0
2002,country,Honduras,emigration,22.0
2002,country,Honduras,immigration,30.0
2002,country,Indien,emigration,332.0
2002,country,Indien,immigration,414.0
2002,country,Indonesien,emigration,212.0
2002,country,Indonesien,immigration,302.0
2002,country,Irak,emigration,24.0
2002,country,Irak,immigration,45.0
2002,country,"Iran, Islamische Republik",emigration,155.0
2002,country,"Iran, Islamische Republik",immigration,137.0
2002,country,Irland,emigration,725.0
2002,country,Irland,immigration,537.0
2002,country,Island,emigration,87.0
2002,country,Island,immigration,60.0
2002,country,Israel,emigration,291.0
2002,country,Israel,immigration,432.0
2002,country,Italien,emigration,3264.0
2002,country,Italien,immigration,2503.0
2002,country,Japan,emigration,470.0
2002,country,Japan,immigration,520.0
2002,country,Jemen,emigration,30.0
2002,country,Jemen,immigration,31.0
2002,country,Jordanien,emigration,127.0
2002,country,Jordanien,immigration,133.0
2002,country,Kamerun,emigration,39.0
2002,country,Kamerun,immigration,75.0
2002,country,Kanada,emigration,2023.0
2002,country,Kanada,immigration,1104.0
2002,country,Kasachstan,emigration,529.0
2002,country,Kasachstan,immigration,33964.0
2002,country,Kenia,emigration,164.0
2002,country,Kenia,immigration,188.0
2002,country,Kirgisistan,emigration,49.0
2002,country,Kirgisistan,immigration,1715.0
2002,country,Kolumbien,emigration,142.0
2002,country,Kolumbien,immigration,311.0
2002,country,"Kongo, Demokratische Republik",emigration,8.0
2002,country,"Kongo, Demokratische Republik",immigration,5.0
2002,country,"Kongo, Republik",emigration,9.0
2002,country,"Kongo, Republik",immigration,14.0
2002,country,"Korea, Demokratische Volksrepublik",emigration,35.0
2002,country,"Korea, Demokratische Volksrepublik",immigration,25.0
2002,country,"Korea, Republik",emigration,102.0
2002,country,"Korea, Republik",immigration,119.0
2002,country,Kosovo,emigration,0.0
2002,country,Kosovo,immigration,0.0
2002,country,Kroatien,emigration,265.0
2002,country,Kroatien,immigration,252.0
2002,country,Kuwait,emigration,34.0
2002,country,Kuwait,immigration,22.0
2002,country,Lettland,emigration,52.0
2002,country,Lettland,immigration,137.0
2002,country,Libanon,emigration,229.0
2002,country,Libanon,immigration,229.0
2002,country,Libyen,emigration,29.0
2002,country,Libyen,immigration,44.0
2002,country,Litauen,emigration,60.0
2002,country,Litauen,immigration,305.0
2002,country,Luxemburg,emigration,667.0
