year,origin,destination,migrants
2003,Germany,Tschechien,710.0
2003,Germany,Tunesien,203.0
2003,Germany,Türkei,1602.0
2003,Germany,Uganda,68.0
2003,Germany,Ukraine,153.0
2003,Germany,Unbekanntes Ausland,0.0
2003,Germany,Ungarn,653.0
2003,Germany,Ungeklärt / Ohne Angabe,23687.0
2003,Germany,Uruguay,65.0
2003,Germany,Usbekistan,37.0
2003,Germany,"Venezuela, Bolivarische Republik",157.0
2003,Germany,Vereinigte Arabische Emirate,464.0
2003,Germany,Vereinigte Staaten,12325.0
2003,Germany,Vereinigtes Königreich,6264.0
2003,Germany,Vietnam,94.0
2003,Germany,Zentralafrikanische Republik,12.0
2003,Germany,Zypern,144.0
2003,Germany,Ägypten,347.0
2003,Germany,Äthiopien,99.0
2003,Germany,Österreich,6903.0
2003,Germany,Übriges Afrika,523.0
2003,Germany,Übriges Amerika,639.0
2003,Germany,Übriges Asien,696.0
2003,Germany,Übriges Europa,456.0
2003,Germany,Übriges Ozeanien,95.0
2004,Germany,Afghanistan,121.0
2004,Germany,Albanien,31.0
2004,Germany,Algerien,114.0
2004,Germany,Andorra,22.0
2004,Germany,Angola,20.0
2004,Germany,Argentinien,372.0
2004,Germany,Armenien,22.0
2004,Germany,Aserbaidschan,25.0
2004,Germany,Australien,2190.0
2004,Germany,Belarus,52.0
2004,Germany,Belgien,2584.0
2004,Germany,"Bolivien, Plurinationaler Staat",175.0
2004,Germany,Bosnien und Herzegowina,99.0
2004,Germany,Brasilien,1155.0
2004,Germany,Bulgarien,148.0
2004,Germany,Chile,336.0
2004,Germany,China,1696.0
2004,Germany,Costa Rica,115.0
2004,Germany,Cote d'Ivoire,10.0
2004,Germany,Dänemark,735.0
2004,Germany,Estland,64.0
2004,Germany,Finnland,333.0
2004,Germany,Frankreich,7270.0
2004,Germany,Georgien,34.0
2004,Germany,Ghana,134.0
2004,Germany,Griechenland,1165.0
2004,Germany,Honduras,34.0
2004,Germany,Indien,404.0
2004,Germany,Indonesien,220.0
2004,Germany,Irak,162.0
2004,Germany,"Iran, Islamische Republik",313.0
2004,Germany,Irland,883.0
2004,Germany,Island,65.0
2004,Germany,Israel,416.0
2004,Germany,Italien,3448.0
2004,Germany,Japan,511.0
2004,Germany,Jemen,36.0
2004,Germany,Jordanien,153.0
2004,Germany,Kamerun,54.0
2004,Germany,Kanada,2511.0
2004,Germany,Kasachstan,671.0
2004,Germany,Kenia,205.0
2004,Germany,Kirgisistan,58.0
2004,Germany,Kolumbien,169.0
2004,Germany,"Kongo, Demokratische Republik",23.0
2004,Germany,"Kongo, Republik",9.0
2004,Germany,"Korea, Demokratische Volksrepublik",44.0
2004,Germany,"Korea, Republik",105.0
2004,Germany,Kosovo,0.0
2004,Germany,Kroatien,338.0
2004,Germany,Kuwait,67.0
2004,Germany,Lettland,74.0
2004,Germany,Libanon,437.0
2004,Germany,Libyen,26.0
2004,Germany,Litauen,106.0
2004,Germany,Luxemburg,732.0
2004,Germany,Malta,67.0
2004,Germany,Marokko,186.0
2004,Germany,Mexiko,546.0
2004,Germany,Montenegro (ab 03.06.2006),0.0
2004,Germany,Namibia,225.0
2004,Germany,Neuseeland,705.0
2004,Germany,Nicaragua,40.0
2004,Germany,Niederlande,3571.0
2004,Germany,Niger,11.0
2004,Germany,Nigeria,91.0
2004,Germany,Nordmazedonien,30.0
2004,Germany,Norwegen,886.0
2004,Germany,Pakistan,248.0
2004,Germany,Paraguay,256.0
2004,Germany,Peru,185.0
2004,Germany,Philippinen,421.0
2004,Germany,Polen,9658.0
2004,Germany,Portugal,816.0
2004,Germany,Ruanda,15.0
2004,Germany,Rumänien,463.0
2004,Germany,Russische Föderation,2314.0
2004,Germany,Saudi-Arabien,123.0
2004,Germany,Schweden,1327.0
2004,Germany,Schweiz,12818.0
2004,Germany,Senegal,30.0
2004,Germany,Serbien,0.0
2004,Germany,Singapur,469.0
2004,Germany,Slowakei,181.0
2004,Germany,Slowenien,191.0
2004,Germany,Somalia,12.0
2004,Germany,Spanien,7196.0
2004,Germany,Syrien,167.0
2004,Germany,Südafrika,1074.0
2004,Germany,Tadschikistan,51.0
2004,Germany,Tansania,130.0
2004,Germany,Thailand,885.0
2004,Germany,Tschechien,919.0
2004,Germany,Tunesien,249.0
2004,Germany,Türkei,2125.0
2004,Germany,Uganda,37.0
2004,Germany,Ukraine,252.0
2004,Germany,Unbekanntes Ausland,0.0
2004,Germany,Ungarn,903.0
2004,Germany,Ungeklärt / Ohne Angabe,35947.0
2004,Germany,Uruguay,55.0
2004,Germany,Usbekistan,44.0
2004,Germany,"Venezuela, Bolivarische Republik",173.0
2004,Germany,Vereinigte Arabische Emirate,612.0
2004,Germany,Vereinigte Staaten,12976.0
2004,Germany,Vereinigtes Königreich,7842.0
2004,Germany,Vietnam,139.0
